Date,Open,High,Low,Close
16-Jun-20,13037.08,13098.52,12714.92,12927.07
15-Jun-20,12994.77,12999.09,12740.43,12828.38
12-Jun-20,12524.47,13026.52,12493.5,13002.13
11-Jun-20,13167.75,13177.99,12892.11,12910.01
10-Jun-20,13105.2,13190.56,13053.15,13161.34
09-Jun-20,13282.54,13365.7,13034.62,13071.46
08-Jun-20,13368.42,13394.46,13155.9,13208.57
05-Jun-20,13087.06,13197.7,13023.03,13168.97
04-Jun-20,13024.96,13115.42,12885.95,12994.86
03-Jun-20,13053.7,13160.87,12983.76,13016.47
02-Jun-20,12801.55,12927.39,12745.92,12913.91
01-Jun-20,12587.98,12835.24,12578.88,12726.27
29-May-20,12229.42,12431.12,12167,12414.85
28-May-20,12130.31,12290.2,12078.73,12271.5
27-May-20,11840.57,12071.21,11732.88,12055.24
26-May-20,11835.86,11901.3,11735.06,11777.99
22-May-20,11817.6,11905.14,11689.31,11763.18
21-May-20,11825.84,11931.94,11784.23,11843.93
20-May-20,11553.88,11807.55,11553,11784.13
19-May-20,11644.13,11734.72,11529.81,11557.69
18-May-20,11969.46,11969.46,11483.74,11499.61
15-May-20,11988.79,11988.79,11818.49,11907.64
14-May-20,12026.69,12084.81,11897.09,11926.23
13-May-20,12431.48,12432.27,12120.28,12171.26
12-May-20,11941.49,11990.79,11756.08,11940.15
11-May-20,12123.39,12211.83,11977.18,11997.79
08-May-20,12140.53,12145.98,11975.51,11988.93
07-May-20,12023.87,12049.04,11921.49,11938.42
06-May-20,11983.22,12093.51,11824.29,12023.64
05-May-20,12214.17,12258.89,11922.63,11938.4
04-May-20,12422.44,12422.44,12023.75,12051.46
30-Apr-20,12590.82,12760.95,12590.46,12721
29-Apr-20,12259.93,12424.27,12213.83,12374.8
28-Apr-20,12196.09,12211.5,12041.87,12179.22
27-Apr-20,12024.15,12155.7,12021.86,12070.36
24-Apr-20,11983.98,12063.5,11883.27,11895.45
23-Apr-20,12060.67,12149.76,11968.02,12103.17
22-Apr-20,11800.44,11973.76,11669.58,11957.12
21-Apr-20,11856.18,11856.18,11661.01,11732.56
20-Apr-20,12254.02,12254.55,12066.18,12087.06
17-Apr-20,12115.38,12149.19,11886.74,12086.46
16-Apr-20,11586.49,11823.81,11537.23,11767.7
15-Apr-20,11865.57,12028.91,11582.7,11652.15
13-Apr-20,11853.47,11853.47,11549.76,11674.41
09-Apr-20,11593.12,11824.18,11578.69,11805.03
08-Apr-20,11271.29,11801.51,11209.13,11364.04
07-Apr-20,10944.72,11369.74,10856.13,11346.44
03-Apr-20,10835.81,10840.01,10498.79,10527.29
01-Apr-20,11126.44,11126.46,10663.05,10728.88
31-Mar-20,10986.32,11170.57,10803.18,11098.23
30-Mar-20,10948.05,11014.7,10663.76,10714.78
27-Mar-20,11420.04,11596.28,10951.46,11106.47
26-Mar-20,10847.73,11238.79,10677.25,11148.36
25-Mar-20,10031.31,10724.62,9985.8,10666.93
24-Mar-20,10235.38,10374.25,9758.33,10100.1
23-Mar-20,10630.52,10630.52,9870.16,9896.25
20-Mar-20,10855.29,11521.48,10692.85,11359.42
19-Mar-20,10738.85,11155.7,10283.44,10783.16
18-Mar-20,11901.21,11950.52,11048.76,11115.68
17-Mar-20,12080.24,12274.09,11700.71,11755.59
16-Mar-20,12631.1,12631.1,11986.94,12024.19
13-Mar-20,11965.7,13147.48,11276.7,12941.75
12-Mar-20,13229.61,13229.61,12423.79,12517.5
11-Mar-20,13642.29,13794.3,13560.32,13652.78
09-Mar-20,14158.87,14158.87,13502.43,13668.3
06-Mar-20,14385.68,14402.51,14152.61,14355.82
05-Mar-20,14743.71,14844.79,14665.42,14706.49
04-Mar-20,14823.38,14841.78,14465.68,14676.22
03-Mar-20,14668.11,14815.09,14583.22,14783.59
02-Mar-20,14845.25,14947.11,14431.73,14549.71
28-Feb-20,14956.79,14956.79,14597.05,14627.62
27-Feb-20,15279.51,15279.51,15056.34,15183.85
